url,title,business title,ic,email,phone,address,description
http://www.tipa.eu,Elektro TIPA.EU,TIPA,42864208,prodejna.praha8@tipa.eu,+420 725293640,"Klapkova 3/26, 182 00  Praha, Kobylisy","Maloobchodní a velkoobchodní prodej nářadí, ozvučovací, pájecí, satelitní, anténní a zahradní techniky, LED osvětlení, fotopastí, elektrospotřebičů, reproduktor, zdrojů, měničů, baterií a akumulátorů, mechanického i elektrického nářadí."
http://www.telsat.cz,TELSAT Benešov,TELSAT Benešov,27171566,telsat@telsat.cz,+420 317722311,"Čechova 1433, 256 01  Benešov","Prodáváme antény a satelitní techniku, služby SKYLINK a freeSAT. Nabízíme televize, satelitní přijímače, DVD přehrávače, kamery, fotoaparáty a Hi-Fi značek Panasonic, Cambridge Audio, Onkyo, Denon, Yamaha, Marantz, Bose a další. Instalace ozvučení, satelitní a anténní techniky, datových rozvodů."
http://www.softcom.cz,Softcom.cz,SOFTCOM GROUP,25623290,sales@softcom.cz,+420 267311592,"28. pluku 458/7, 101 00  Praha, Vršovice","Internetový prodej výpočetní techniky a příslušenství. Najdete u nás brašny, batohy, domácí spotřebiče, zahradní vybavení, GPS navigace, fotoaparáty, videokamery, meteostanice, projektory, herní konzole, počítačové hry, počítačové sestavy, notebooky, tablety a ebooky."
https://www.datart.cz/prodejny/breclav-tesco-datart.html,DATART,HP TRONIC Zlín,49973053,BreclavTesco@datart.cz,+420 225991000,"Lidická 3341/137, 690 03  Břeclav","Prodej domácích elektrospotřebičů. Nabízíme pračky, sporáky, trouby, vařiče, digestoře, myčky, ventilátory, ohřívače vody, malé i velké či vestavěné kuchyňské spotřebiče, fény, žehličky, epilátory, mixéry, osobní i kuchyňské váhy a další. Dodáváme mobilní telefony, počítače či GPS."
http://www.excelia-hifi.cz,EXCELIA HIFI,Jan Roček,11026855,info@excelia-hifi.cz,+420 724007744,"Generála Uchytila 904, 537 01  Chrudim II","High-end audio studio, poradenství, návrhy ozvučení. Zastupujeme značky: Acoustic Energy, Anthem, Cambridge Audio, Carat, Cardas, Focal, Harman Kardon, JBL, Mark Levinson, Meridian, Mission, Primare, Reavon, Revel, Sonus Faber, Yamaha. Poslech po dohodě."
https://www.taktrochujineelektro.cz,Tak trochu jiné elektro,František Myška,62888480,info@taktrochujineelektro.cz,+420 775336336,"Sokolovská 352/215, 190 00  Praha, Vysočany","Internetový i osobní prodej ledniček, myček, praček, sporáků, mikrovlnek, vysavačů, vařičů, mixérů, grilů, elektroniky a ostatních spotřebičů většinou nepoužitých za výhodné ceny. Veškeré vystavené zboží na našich stránkách, skutečně skladem na naší provozovně."
https://www.aqstudio.cz,AQ audio studio,AQ audio studio,29388082,brno@aq.cz,+420 603407598,"Vodova 1798/68, 612 00  Brno, Královo Pole","Jsme firemní prodejnou českého výrobce a distributora audiotechniky AQ. Najdete u nás největší nabídku vystavených gramofonů Pro-Ject, kompletní sortiment českých reprosoustav Acoustique Quality a značek Arcam, Audioquest a Yamaha. Poradíme s výběrem a montáží gramofonové přenosky."
http://www.tauergroup.cz,Tauer Group,Tauer Group,25921100,produm@tauergroup.cz,+420 468008989,"Milady Horákové 357/4, 568 02  Svitavy, Předměstí","Jsme tu pro Vás již od roku 1999. V maloobchodním prodeji jsme jako ryba ve vodě. V rámci ČR Vás obsloužíme na 8 prodejnách elektro, 4 kuchyňských studiích, prodejně nábytku a svítidel, dveří a podlah. Zboží můžete zakoupit i na našem eshopu. Nabízíme produkty renomovaných značek."
https://www.aqstudio.cz,AQ audio studio,AQ audio studio,29388082,cervenka@aq.cz,+420 602709739,"Severní 452, 784 01  Červenka","Jsme firemní prodejnou českého výrobce a distributora audiotechniky AQ. Najdete u nás nabídku vystavených gramofonů Pro-Ject, kompletní sortiment českých reprosoustav Acoustique Quality a značek Arcam, Audioquest a Yamaha. Poradíme s výběrem a montáží gramofonové přenosky."
http://www.datart.cz,DATART,HP TRONIC Zlín,49973053,sklad.plana@hptronic.cz,+420 577055671,"Průmyslová 458, 391 11  Planá nad Lužnicí",Pouze výdejní místo.
