category_code,category_name,attribute_code,attribute_name,is_primary,filter_operator
2,"Digitální fotoaparáty",836,"Typ fotoaparátu",true,OR
3,"Digitální kamery",849,"Typ kamery",true,OR
6,"Paměťové karty",7,"Technologie paměťové karty",true,OR
12,Dalekohledy,13,"Typ dalekohledu",true,OR
14,Televize,15,"Úhlopříčka obrazovky",true,OR
15,"Příjem digitálního vysílání",983,Produkt,true,OR
16,"Příslušenství k televizím",892,"Typ  příslušenství",true,OR
19,"Audio systémy",28,"Typ audio produktu",true,OR
20,"Bezdrátové reproduktory",1003,Funkce,true,AND
21,Autorádia,929,"Vlastnosti autorádia",true,AND
22,Diktafony,,,,
24,"Herní konzole",935,"Typ konzole",true,OR
25,"Herní příslušenství",272,"Pro zařízení",true,AND
26,Sluchátka,32,"Typ sluchátek",true,OR
27,Mikrofony,35,"Typ mikrofonu",true,OR
28,"Budíky a hodiny",968,"Zobrazení času",true,OR
29,"Přenosné audio",906,"Typ audio zařízení",true,OR
30,"Počítačové skříně",38,"Provedení skříně",true,OR
31,Zdroje,907,"Formát zdroje",true,OR
32,"Příslušenství ke skříním",888,"Typ příslušenství",true,OR
33,"Základní desky",1396,"Pro procesory",true,OR
34,"Paměti RAM",1368,"Využití paměti",true,OR
35,Procesory,46,"Socket (patice)",true,OR
36,Chladiče,886,"Typ chladiče",true,OR
37,"Grafické karty",1620,"Šířka sběrnice",true,OR
38,"Zvukové karty",887,"Typ zvukové karty",true,OR
39,Modemy,75,"Typ připojení zařízení",true,OR
40,"TV tunery, Střihové karty",351,"Druh zařízení",true,OR
41,"Pevné disky",1374,"Použití disku",true,OR
42,"Optické mechaniky",83,"Typ mechaniky",true,OR
43,Klávesnice,897,"Typ klávesnice",true,OR
45,Reproduktory,91,"Specifikace sestavy",true,OR
46,"WEB kamery",94,"Rozlišení Web kamery",true,OR
47,"IO karty/zařízení, huby a čtečky",209,"Druh IO zařízení",true,OR
48,"Kabely a redukce (kromě LAN)",95,"Specifikace kabelu / redukce",true,OR
50,Monitory,692,"Technologie panelu",true,OR
51,"Příslušenství k monitorům",913,"Typ příslušenství",true,OR
52,Projektory,101,"Svítivost (v ANSI lumenech)",true,OR
53,"Příslušenství k projektorům",847,"Typ příslušenství",true,OR
62,"Média Utrium",890,"Typ média",true,OR
66,Tiskárny,1309,"Barva tisku",true,OR
67,"Příslušenství k tiskárnám",128,"Typ příslušenství",true,OR
68,Multifunkce,106,"Tisková technologie",true,OR
69,"Příslušenství k multifunkcím",128,"Typ příslušenství",true,OR
71,"Příslušenství ke kopírkám",128,"Typ příslušenství",true,OR
74,"Spotřební materiál k periferiím",106,"Tisková technologie",true,OR
75,"Tisková média",142,"Typ papíru",true,OR
76,Skenery,134,"Automatický podavač dokumentů",true,OR
77,"Příslušenství ke skenerům",128,"Typ příslušenství",true,OR
78,"Rozšíření záruky k periferiím",136,"Typ servisní služby",true,OR
79,Servery,145,"Provedení serveru",true,OR
80,"RAM k serverům",62,"Kapacita paměti RAM",true,OR
81,"Pevné disky k serverům",1072,"Typ disku",true,OR
82,"Řadiče RAID / non-RAID",147,"Technologie serverového řadiče",true,OR
83,"Rackové skříně",,,,
84,"Příslušenství k Rackovým skříním",863,"Typ příslušenství",true,OR
85,"Zálohovací systémy",241,"Specifikace zálohovacího systému",true,OR
86,"Zálohovací mechaniky",232,"Typ rozhraní zálohovací mechaniky",true,OR
87,"Ostatní příslušenství k serverům",861,"Typ příslušenství",true,OR
88,"Rozšíření záruky k serverům",136,"Typ servisní služby",true,OR
89,"Síťové karty",914,Provedení,true,OR
90,Switche,296,Provedení,true,OR
91,"Wi-Fi antény",201,"Typ antény",true,OR
93,"Příslušenství k aktivním síťovým prvkům",205,"Typ příslušenství",true,OR
94,"Strukturovaná kabeláž",294,"Typ komponenty",true,OR
95,"OS - desktopové",199,"Pro koho je licence určena",true,OR
96,"OS - serverové",199,"Pro koho je licence určena",true,OR
97,Kancelářský,199,"Pro koho je licence určena",true,OR
98,Antivirový,199,"Pro koho je licence určena",true,OR
99,Grafický,199,"Pro koho je licence určena",true,OR
100,Zálohovací,199,"Pro koho je licence určena",true,OR
101,Databázový,199,"Pro koho je licence určena",true,OR
102,Komunikační,199,"Pro koho je licence určena",true,OR
103,"Správa, internet",199,"Pro koho je licence určena",true,OR
104,Vývojářský,199,"Pro koho je licence určena",true,OR
105,"Hry, zábava, výuka",198,Jazyk,true,AND
107,"Mobilní telefony",652,Typ,true,AND
111,"Stolní telefony",827,"Typ telefonu",true,OR
112,"VoIP telefony a adaptéry",,,,
113,Faxy,106,"Tisková technologie",true,OR
115,"Notebooky a Ultrabooky",875,"Typ zařízení",true,AND
116,"Příslušenství k notebookům a ultrabookům",879,"Typ příslušenství",true,OR
120,"Ostatní originální přísl. k NTB",197,"Druh originálního příslušenství k Notebooku",true,OR
121,"PC sestavy",177,"Provedení PC",true,AND
122,"Příslušenství k PC",196,"Druh příslušenství k PC",true,OR
123,"Elektronické čtečky",1002,"Úhlopříčka displeje",true,OR
126,Navigace,668,Použití,true,OR
127,"Rozšíření záruky k PC a NTB",136,"Typ servisní služby",true,OR
128,"Záložní zdroje, EPS a příslušenství",169,Použití,true,OR
129,"Přepěťové ochrany",1329,Funkce,true,OR
130,"Servisní služby",136,"Typ servisní služby",true,OR
131,"PDU, ATS, KVM switche",1058,"Typ zařízení",true,OR
132,"Příslušenství k PDU, ATS, KVM switchům",1024,Příslušenství,true,OR
133,Ostatní,198,Jazyk,true,AND
135,Myši,895,"Rozhraní myši",true,OR
136,"Sety klávesnice + myš",925,"Rozhraní setu",true,OR
138,"Příslušenství pro pevné disky",889,"Typ příslušenství",true,OR
140,"Příslušenství k řadičům",860,"Typ příslušenství",true,OR
141,"Ostatní spotřební elektronika",1025,Produkt,true,OR
144,"Síťové karty pro servery",237,"Počet kanálů",true,OR
145,"Příslušenství k zálohovacím systémům",1121,"Typ příslušenství",true,OR
146,"Příslušenství k zálohovacím mechanikám",1079,Typ,true,OR
147,"Grafické tablety",911,"Úhlopříčka pracovní plochy",true,OR
148,"CPU k serverům",58,"Řada procesoru",true,OR
149,"Ostatní příslušenství k faxům",,,,
