ProId,Code,Name,waranty,endUserPrice,PartNumber,OnStock,OnStockText,ProducerName,EANCode,descriptionShort,description,img
61357,127214,"PRETEC CompactFlash II/PCMCIA adapter","24 Měsíc(ů)",311.00,pcacfa+,true,10-49,Pretec,8594047310830,,,https://c.edsystem.cz/IMGCACHE/_61/61357_0a_3.jpg
64318,710213,"VERBATIM CD-RW(10-Pack)Jewel/High Speed/8x-12x/DLP/700MB","24 Měsíc(ů)",221.00,43148,true,"10,00",Verbatim,023942431480,,,https://c.edsystem.cz/IMGCACHE/_64/64318_0a_3.jpg
85724,710308,"VERBATIM CD-R(50-Pack)Spindle/Crystal/DLP/52x/700MB","24 Měsíc(ů)",406.00,43343,true,"7,00",Verbatim,023942433439,,,https://c.edsystem.cz/IMGCACHE/_85/85724_0a_3.jpg
85725,710309,"VERBATIM CD-R(50-Pack)Spindle/Extra Protection/DL/52x/700MB","24 Měsíc(ů)",262.00,43351,false,"0,00",Verbatim,023942433514,,,https://c.edsystem.cz/IMGCACHE/_85/85725_0a_3.jpg
85734,710312,"VERBATIM CD-RW(5-Pack)Slim/Colours/Hi Speed/8x-12x/700MB","24 Měsíc(ů)",152.00,43167,false,"0,00",Verbatim,023942431671,,,https://c.edsystem.cz/IMGCACHE/_85/85734_0a_3.jpg
88655,710332,"VERBATIM CD-R(200-Pack)Slim/Extra Protection/DL/52x/700MB","24 Měsíc(ů)",2108.00,43347,true,100+,Verbatim,50023942433472,,,https://c.edsystem.cz/IMGCACHE/_88/88655_0a_3.jpg
98953,176172,"D-Link DUB-H4 4-Port Hi-speed USB 2.0 Hub","24 Měsíc(ů)",467.00,DUB-H4/E,true,"6,00",D-Link,790069243905,,,https://c.edsystem.cz/IMGCACHE/_98/98953_0a_3.jpg
98954,176173,"D-Link DUB-H7 7-Port Hi-speed USB 2.0 Hub","24 Měsíc(ů)",612.00,DUB-H7/E,true,10-49,D-Link,790069252389,,,https://c.edsystem.cz/IMGCACHE/_98/98954_0a_3.jpg
99084,710360,"VERBATIM CD-R(10-pack)Audio/Live it!/Colour/Jewel/80Min","24 Měsíc(ů)",330.00,43365,false,"0,00",Verbatim,023942433651,,,https://c.edsystem.cz/IMGCACHE/_99/99084_0a_3.jpg
102677,710369,"VERBATIM CD-R(100-Pack)Spindle/EP/DL/52x/700MB","24 Měsíc(ů)",610.00,43411,false,"0,00",Verbatim,023942434115,,,https://c.edsystem.cz/IMGCACHE/_102/102677_0a_3.jpg
103603,710396,"VERBATIM CD-R(10-Pack)Slim/ExtraProtection/DL/52x/700MB","24 Měsíc(ů)",203.00,43415,true,10-49,Verbatim,023942434153,,,https://c.edsystem.cz/IMGCACHE/_103/103603_0a_3.jpg
104707,710405,"BAZAR - VERBATIM CD-R(100-Pack)Spindle/EP/DL/48x/700MB poškozený obal","6 Měsíc(ů)",180.00,"BAZAR 43411",false,"0,00",Verbatim,710405,,,https://c.edsystem.cz/IMGCACHE/_104/104707_0a_3.jpg
107119,710465,"VERBATIM DVD+RW(5-Pack)Jewel/4x/DLP/4.7GB","24 Měsíc(ů)",135.00,43229,false,"0,00",Verbatim,023942432296,,,https://c.edsystem.cz/IMGCACHE/_107/107119_0a_3.jpg
112671,710474,"VERBATIM CD-RW(10-Pack)Spindle/8x-12x/High Speed/DLP/700MB","24 Měsíc(ů)",168.00,43480,true,"9,00",Verbatim,023942434801,,,https://c.edsystem.cz/IMGCACHE/_112/112671_0a_3.jpg
112927,710491,"VERBATIM DVD-RW(5-pack)Jewel/4x//DLP/4.7GB","24 Měsíc(ů)",135.00,43285,true,10-49,Verbatim,023942432852,,,https://c.edsystem.cz/IMGCACHE/_112/112927_0a_3.jpg
114667,710496,"VERBATIM CD-R(25-Pack)Spindle/Crystal/DLP/52x/700MB","24 Měsíc(ů)",203.00,43352,true,"7,00",Verbatim,023942433521,,,https://c.edsystem.cz/IMGCACHE/_114/114667_0a_3.jpg
114669,710498,"VERBATIM CD-R(10-Pack)Slim/Vinyl/DLP/52x/700MB","24 Měsíc(ů)",140.00,43426,false,"0,00",Verbatim,023942434269,,,https://c.edsystem.cz/IMGCACHE/_114/114669_0a_3.jpg
